user_id_mod,hour_of_day,amount,tx_type,currency,is_anomaly,description
1,14,-10.00,bet,EUR,0,"Normal: User places a bet."
2,15,5.50,win,EUR,0,"Normal: User wins."
3,21,100.00,deposit,USD,0,"Normal: User deposits."
4,8,-50.00,withdraw,USD,0,"Normal: User withdraws."
5,3,-2.00,bet,EUR,0,"Normal bet during low-activity hours."
6,4,7500.00,deposit,GBP,1,"Large deposit during low-activity hours."
7,5,-5500.00,withdraw,GBP,1,"Large withdrawal during low-activity hours."
8,11,30.00,win,EUR,0,"Normal: User wins."
9,19,30.00,win,EUR,0,"Normal: User wins."
0,10,200.00,deposit,USD,0, "Normal"
1,6,50.00,win,EUR,0,"Normal."
2,2,-1500.00,bet,USD,1,"Large bet amount  during low-activity hours."
3,12,-25.00,bet,CAD,0,"Normal: User places a bet."
4,23,10.00,win,CAD,0,"Normal: User wins."
5,2,50.00,withdraw,EUR,0,"Normal withdrawal."
6,13,1000000.00,deposit,JPY,1,"Extremly large deposit."
7,22,90.00,deposit,USD,0,"Normal evening deposit."
8,0,-5.00,bet,EUR,0,"Normal bet early morning."
9,1,-6000.00,withdraw,AUD,1,"Large withdrawal and high-value during low-activity hours."
0,17,-800.00,bet,CAD,0,"Normal."